id;first_name;last_name;address;city;telephone;created_by;created_date;last_modified_by;last_modified_date
1;George;Franklin;110 W. Liberty St.;Madison;6085551023;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
2;Betty;Davis;638 Cardinal Ave.;Sun Prairie;6085551749;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
3;Eduardo;Rodriquez;2693 Commerce St.;McFarland;6085558763;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
4;Harold;Davis;563 Friendly St.;Windsor;6085553198;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
5;Peter;McTavish;2387 S. Fair Way;Madison;6085552765;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
6;Jean;Coleman;105 N. Lake St.;Monona;6085552654;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
7;Jeff;Black;1450 Oak Blvd.;Monona;6085555387;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
8;Maria;Escobito;345 Maple St.;Madison;6085557683;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
9;David;Schroeder;2749 Blackhawk Trail;Madison;6085559435;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
10;Carlos;Estaban;2335 Independence La.;Waunakee;6085555487;jhipster;2025-02-01T00:00:00;jhipster;2025-02-01T00:00:00
